Word,Count
the,80
to,36
=,31
of,22
TODO:,22
for,21
:,20
if,20
and,19
is,19
a,17
or,16
not,15
code,15
with,15
class,14
message,14
window,13
//,12
support,12
in,12
\0,\,12
DC,12
menu,11
control,11
CString,11
be,11
here,11
file,11
it,11
add,10
,10
const,10
vehicle,10
{,10
your,10
item,10
handlers,10
\L"\0"\,\,10
},10
you,10
dialog,10
implementation,9
from,9
standard,9
that,9
items,9
this,9
////////////////////////////////////////////////////////////////////,8
get,8
only,8
create,8
use,7
on,7
application,7
as,7
CMFCSingleDocVehiclesApp,7
>>,7
by,7
fuel,7
<<,7
enable,7
set,7
its,7
CMFCSingleDocVehiclesDoc,6
will,6
return,6
CMainFrame,6
style,6
Implementation,6
memory,6
font,6
paint,6
command,6
root,6
include,6
compatible,6
Set,6
CMFCSingleDocVehiclesView,6
MFC,6
Windows,5
project,5
line,5
construction,5
SHARED_HANDLERS,5
methods,5
Data,5
selected,5
Dialog,5
document,5
version,5
serialization,5
all,5
DDX/DDV,5
\L"\100"\,\,5
void,5
styles,5
initialization,5
Overrides,5
CLeftView,5
so,4
over,4
construction/destruction,4
constructor,4
Modify,4
search,4
ID,4
an,4
i,4
was,4
functions,4
Attributes,4
call,4
_DEBUG,4
diagnostics,4
isFuelRemaining,4
Generated,4
do,4
mouse,4
map,4
view,4
CConfigureVehicleDlg,4
fail,4
=nullptr,4
commands,4
name,4
debug,4
interface,4
toolbar,4
are,4
should,4
NULL);,4
Operations,4
power,4
Do,4
default,4
open,3
\specified,\,3
Enable,3
after,3
(COLORREF)-1,3
let,3
Select,3
meddle,3
\fuelRemaining,\,3
\L"\500"\,\,3
\L"\FALSE"\;\,3
#include,3
want,3
auto,3
CREATESTRUCT,3
used,3
http,3
///////////////////////////////////////////////////////////,3
Filename:,3
Delete,3
same,3
main,3
bitmap,3
drop,3
clip,3
\maxFuelCapacity,\,3
\1,\,3
Common,3
wish,3
CDriveDlg,3
////////////////////////////////////////////////////////////,3
\(M.ALSAMSAM),\,3
The,3
string,3
\L"\10"\,\,3
color,3
You,3
Author:,3
been,3
If,3
Sami,3
custom,3
else,3
Create,3
www.ittiger.net,3
docking,3
one,3
First,3
has,3
may,3
Visual,3
fields,3
highlighted,3
list,3
button,3
CServiceDlg,3
\CList<CVehicle*,\,3
Window,3
first,3
ittiger@ittiger.net,3
\fuelUsage,\,3
region,3
tree,3
into,3
\name,\,3
m_objectCount;,3
Returns,3
modifying,3
cs,3
No,3
CRefuelDlg,3
position,3
new,3
drawing,3
handle,3
messages,3
customization,3
Standard,2
includes,2
label,2
),2
\hItem,\,2
this->GetLeftPane();,2
clicked,2
max,2
customize,2
some,2
Manager,2
toolbars,2
\m_listCtrl.SetItem(index,\,2
App,2
non-debug,2
templates,2
setters,2
header,2
treeControl,2
usage,2
2005,2
platform,2
Support,2
can,2
relative,2
Search,2
View,2
basic,2
popup,2
build,2
MFCSingleDoc_Vehicles.cpp,2
0),2
needed,2
implementations,2
pane,2
test,2
right-hand,2
work,2
CVehicleCollection&,2
MFCSingleDoc_VehiclesView.cpp,2
data,2
\L"\TRUE"\;\,2
m_serialCollection->GetSize();,2
SDI,2
\L"\3"\,\,2
archive,2
select,2
implementing,2
Find,2
left,2
accessing,2
<=,2
CVehicleCollection,2
pWnd,2
extend,2
remaining,2
allows,2
Get,2
service,2
pre-compiled,2
ATL,2
defined,2
check,2
\L"\2"\,\,2
document's,2
driven,2
behavior,2
\L"\TRUE"\);\,2
m_fuelRemaining,2
these,2
sharing,2
Id,2
m_id,2
additional,2
skip,2
\L"\FALSE"\,\,2
using,2
\power,\,2
user-defined,2
inline,2
Restart,2
thumbnail,2
getters,2
our,2
returns,2
\treeControl->InsertVehicleToListView(id,\,2
virtual,2
populate,2
content,2
LeftView.cpp,2
////////////////////////////////,2
we,2
frame,2
m_fuelUsage,2
m_maxFuelCapacity,2
TreeCtrlEx.cpp,2
type,2
change,2
specific,2
Insert,2
based,2
index,2
\LVIF_TEXT,\,2
had,2
i++),2
second,2
directly,2
construct,2
called,2
through,2
created,2
CLeftView*,2
SDKDDKVer.h,2
<,2
m_name,2
\preview,\,2
painting,2
time,2
columns,2
LVSCW_AUTOSIZE);,2
CVehicle*>*,2
user,2
In,2
m_drivenDistance;,2
0;,2
visual,2
\m_listCtrl.InsertItem(LVIF_TEXT,\,2
Getters,2
\drivenDistance,\,2
filter,2
classes,2
(ignore,2
child,2
required,2
capacity,2
Studio,2
choices,2
1),2
selflag,2
ar,2
\bitmap),\,2
bar,2
Controls,2
common,2
distance,2
included,2
\commands,\,2
following,1
off,1
point,1
INI,1
constructors,1
isFuelRemaining);,1
\L"\0"\);\,1
other.m_vehicles);,1
touch),1
base,1
real,1
HICON,1
Including,1
format,1
\ON_COMMAND(ID_TOOLS_ADDVEHICLE,\,1
often,1
automatically,1
operations:,1
features,1
&CMainFrame::OnToolsAddvehicle),1
commands),1
m_serialCollection->RemoveAll();,1
\frequently,\,1
show,1
stdafx.cpp,1
settings,1
five,1
quick,1
vehicleDialog.m_DrivenDistance;,1
floating,1
windows,1
Load,1
need,1
\2,\,1
images,1
CVehicle();,1
when,1
drivenDistance,1
if(vehicle->getFuelRemaining(),1
vehicleDialog.m_FuelRemaining;,1
GetTreeCtrl(),1
archive),1
status,1
CRefuelDlg.cpp,1
ribbons,1
MFCSingleDoc_VehiclesDoc.h,1
\L"\service\,1
vehicleDialog.m_FuelUsage;,1
system,1
DDE,1
\initialized,\,1
CPrintInfo*,1
appropriate,1
any,1
