File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\CConfigureVehicleDlg.cpp,CConfigureVehicleDlg::CConfigureVehicleDlg(CWnd* pParent ),2,1,1,0,1,0,0,0,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\CConfigureVehicleDlg.cpp,CConfigureVehicleDlg::~CConfigureVehicleDlg(),1,1,1,0,0,0,0,0,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\CConfigureVehicleDlg.cpp,CConfigureVehicleDlg::DoDataExchange(CDataExchange* pDX),12,12,12,0,0,0,0,0,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\CDriveDlg.cpp,CDriveDlg::CDriveDlg(CWnd* pParent ),2,1,1,0,1,0,0,0,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\CDriveDlg.cpp,CDriveDlg::~CDriveDlg(),1,1,1,0,0,0,0,0,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\CDriveDlg.cpp,CDriveDlg::isValid(),18,9,7,2,0,0,9,18,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\CDriveDlg.cpp,CDriveDlg::DoDataExchange(CDataExchange* pDX),3,3,3,0,0,0,0,0,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\CFileManager.cpp,CFileManager::CFileManager(),1,1,1,0,0,0,0,0,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\CFileManager.cpp,CFileManager::~CFileManager(),1,1,1,0,0,0,0,0,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\CFileManager.cpp,"CFileManager::WriteVehiclesToFile(CVehicleCollection& vehicles, CString& fileName)",24,20,18,2,4,0,0,0,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\CFileManager.cpp,CFileManager::CreateVehiclesFromFile(CString& fileName),85,81,61,6,4,10,0,35,
